LotArea,YearBuilt,OverallQual,OverallCond,GrLivArea,GarageCars,FullBath,BedroomAbvGr,TotRmsAbvGrd,Neighborhood,SalePrice
2189,1921,4,8,3727,2,2,1,8,CollgCr,497456
4734,2006,4,8,3911,1,0,5,11,Mitchel,404548
5005,2009,2,4,2672,4,0,2,4,NoRidge,219259
6658,1903,6,2,1370,4,1,2,10,Veenker,297145
3899,1925,2,8,779,4,1,5,11,CollgCr,360625
9734,1957,7,8,3464,0,0,4,5,Mitchel,209547
3267,1928,3,10,3169,2,3,2,3,Veenker,94552
3528,2008,3,4,3393,4,2,3,11,Veenker,249041
13394,1997,5,3,2392,0,0,3,6,NoRidge,257606
5556,1986,3,2,2251,1,3,1,3,CollgCr,280677
5890,1936,2,9,1173,4,0,5,11,Crawfor,311869
10838,1974,10,1,1651,4,2,5,7,Veenker,450074
13080,1969,9,7,2861,0,2,2,12,Mitchel,255558
7393,1917,2,5,831,2,1,4,11,NoRidge,124474
12627,1984,2,8,1673,1,1,5,2,NoRidge,337312
10792,1941,8,4,2539,4,1,2,7,Veenker,82099
12555,1999,9,7,1977,2,1,2,5,Veenker,252252
12253,1940,7,5,535,1,2,5,4,Veenker,290454
10433,1937,3,5,2208,3,3,2,3,Crawfor,373599
12233,1933,9,9,1943,3,3,1,8,Veenker,104240
13016,1916,3,9,3593,1,3,1,10,CollgCr,386940
9513,1936,5,9,2753,0,0,5,13,Mitchel,366736
4612,1924,9,6,3186,1,1,4,4,Veenker,310746
9041,2001,3,6,3395,1,1,1,7,Crawfor,434325
11555,2021,7,5,1879,0,2,1,10,Mitchel,302051
8235,1975,1,9,939,0,2,5,3,NoRidge,490674
7486,1986,4,10,3276,2,0,3,8,Veenker,151611
9099,2016,4,8,1619,2,0,2,6,Mitchel,108046
11670,2005,7,7,3488,0,3,1,6,NoRidge,300468
12748,1985,8,7,663,3,2,3,12,Crawfor,66488
2775,1984,1,6,647,3,1,4,8,CollgCr,239913
14206,1926,5,5,2841,1,3,3,10,Veenker,430665
10226,1956,7,4,694,4,1,5,5,CollgCr,443611
5152,1930,4,3,1162,1,3,4,10,Crawfor,233741
12147,1905,4,3,979,1,1,4,14,Mitchel,191917
3585,1990,4,6,622,4,0,3,12,Mitchel,217131
5943,1939,6,4,1923,0,3,5,11,Crawfor,68394
9555,1997,7,6,3246,3,1,1,10,Crawfor,406137
5073,1911,2,3,1464,1,1,3,14,Veenker,226978
3021,2008,5,4,3208,4,2,1,5,NoRidge,109332
13653,2020,4,9,3675,2,3,3,4,CollgCr,218377
12805,1952,3,5,2278,1,1,1,3,CollgCr,92628
5843,1970,7,7,1985,3,2,3,10,Mitchel,333496
9989,1909,6,10,2514,0,1,4,13,Mitchel,395115
11692,1944,7,2,1209,1,3,2,3,Veenker,101993
14990,1916,5,5,2943,1,0,4,7,Crawfor,220458
8873,1925,6,9,1411,4,3,1,6,CollgCr,415171
7675,1984,5,3,1860,2,3,5,6,Veenker,499840
2161,1991,7,9,3552,2,1,4,5,Mitchel,432356
6297,1961,2,6,3713,0,1,2,7,Mitchel,58539
12173,2021,5,4,2864,3,3,1,6,CollgCr,182335
2995,1945,6,7,2234,0,2,4,12,Mitchel,456521
13534,1963,6,8,2323,1,2,3,5,Mitchel,365961
14743,1901,5,6,2079,1,2,5,14,NoRidge,467614
9629,2023,10,5,3972,2,1,1,10,Crawfor,290310
13990,1953,7,6,1180,3,1,4,14,Mitchel,256873
11467,2006,10,5,1833,4,3,1,7,NoRidge,361251
3016,1964,8,8,3042,3,0,3,12,Veenker,475368
9869,1950,7,1,1055,1,1,2,11,Mitchel,473840
8439,1952,5,7,1109,4,3,4,11,Veenker,441384
9892,1935,1,10,2656,3,3,1,14,Mitchel,411799
8863,2014,5,10,871,3,0,1,11,CollgCr,106132
9916,1925,10,2,3402,4,2,1,14,NoRidge,437845
10529,1928,2,9,1115,1,3,2,4,NoRidge,155494
2878,1920,5,1,3315,3,3,1,11,CollgCr,365123
11268,1910,5,10,2414,4,3,5,7,Crawfor,370157
6887,1939,2,6,2753,1,2,5,2,NoRidge,275997
14185,1910,5,9,1346,4,2,1,6,Veenker,113797
6859,1935,4,1,542,4,0,5,11,NoRidge,101798
8331,2012,1,4,1364,3,1,4,7,Crawfor,197722
10571,1958,3,4,1768,1,2,5,12,Veenker,469230
10684,1938,1,9,3858,3,1,1,9,Veenker,126421
9208,2003,5,5,1878,0,1,3,12,CollgCr,319578
7276,1998,4,5,1284,0,2,4,10,Mitchel,342172
4062,1953,7,6,975,1,3,2,12,CollgCr,116558
14076,1997,5,1,582,4,0,1,4,Mitchel,336475
2064,1954,10,1,1633,3,1,2,3,CollgCr,117573
10006,2010,4,9,2737,3,3,3,14,Mitchel,179473
4568,1923,2,3,1299,1,2,2,5,NoRidge,227398
7463,2017,4,4,1435,1,1,1,9,Veenker,395123
4027,1921,2,1,2798,0,1,1,12,Mitchel,316267
4695,1968,8,9,2838,2,1,3,9,NoRidge,328747
11687,1955,3,8,2168,1,3,1,4,Crawfor,378085
7258,1932,9,2,3772,2,3,3,5,CollgCr,92597
7618,2021,4,8,825,1,3,3,4,Crawfor,244310
8736,1935,6,7,2034,4,1,1,11,NoRidge,396382
2391,2010,10,6,3980,4,1,5,3,Crawfor,485935
14706,1919,5,1,2485,0,0,3,5,Crawfor,272858
14666,1982,10,7,2464,0,0,1,7,NoRidge,353895
7892,1998,1,10,1336,2,3,5,12,Veenker,438606
5561,2015,9,7,1007,1,3,3,12,Mitchel,136978
12470,2006,1,9,3278,3,2,5,6,CollgCr,329837
8184,1980,8,1,2619,0,3,4,4,Mitchel,218769
5099,1961,9,2,1770,3,0,4,3,CollgCr,406668
8278,2022,9,9,1140,3,0,5,10,Mitchel,410013
10392,2008,1,9,3487,1,0,3,2,Crawfor,211064
5104,2006,2,6,2378,2,1,1,10,Veenker,375969
9215,1997,1,6,1107,1,1,2,2,Crawfor,190594
14790,1972,10,4,2458,0,3,1,8,Veenker,442619
4454,1925,2,4,1065,3,2,2,7,NoRidge,357550
13837,1965,10,5,1867,1,2,2,8,CollgCr,288078
10996,2016,8,3,2601,1,2,3,4,CollgCr,290140
4731,1972,5,1,2253,1,1,5,4,NoRidge,193193
12965,1972,7,1,3075,0,0,1,14,Mitchel,173371
10154,1939,2,7,3158,2,0,5,12,NoRidge,457435
11762,1916,8,1,2081,1,1,4,2,NoRidge,313761
7056,1900,6,1,2486,0,2,3,5,Veenker,93016
10110,1988,8,3,2740,3,2,3,13,NoRidge,493888
12882,1960,1,10,2605,4,3,4,3,CollgCr,336420
5840,1942,1,4,3682,0,3,1,11,Crawfor,280959
3028,2003,7,4,628,4,2,4,9,Veenker,384384
9385,1941,8,2,2372,1,1,1,4,Veenker,418436
2502,1924,3,1,1205,1,2,2,8,Mitchel,236807
8910,1938,5,3,1351,0,3,3,8,Crawfor,67959
14685,1934,1,4,3897,4,2,1,13,Veenker,78522
11062,1902,7,3,507,1,1,5,10,NoRidge,499303
8938,2013,5,8,2576,3,0,5,7,Veenker,453169
6488,2000,8,10,1635,2,1,3,2,Veenker,76567
2206,2007,8,1,3494,2,1,4,9,Veenker,112708
7134,1943,9,2,2678,1,3,4,2,Mitchel,176206
7977,1950,7,7,2735,4,1,1,4,Veenker,72560
9721,1993,1,4,2198,1,1,4,12,Veenker,108390
9035,2001,3,8,3256,4,3,3,6,Mitchel,175772
3484,1997,8,3,1998,3,3,1,9,Crawfor,479876
9858,1911,3,6,3935,4,0,2,10,CollgCr,357248
2863,1918,8,9,3775,1,2,4,8,Mitchel,107805
4790,2000,1,1,2759,3,1,4,10,Mitchel,286109
9408,1943,5,1,2144,0,3,1,12,Veenker,336640
10755,1958,4,8,775,2,0,5,4,Veenker,264373
7116,2022,5,3,3644,1,2,4,14,CollgCr,141257
14383,1948,8,5,2202,1,3,3,6,Veenker,53515
8019,1960,10,1,2295,1,2,4,11,NoRidge,54454
3757,1916,4,5,742,3,2,2,9,Veenker,287145
9574,1973,4,6,3673,0,1,4,13,Veenker,72873
8374,1956,3,8,3534,4,1,5,2,NoRidge,386064
8892,1954,7,3,3232,0,3,4,9,CollgCr,325871
3678,2012,3,3,670,3,2,1,8,NoRidge,178376
5242,1946,3,10,1152,1,3,4,2,Mitchel,119070
6636,1911,10,9,2432,2,3,5,14,NoRidge,411203
3059,1961,5,4,2735,1,2,1,14,Crawfor,174564
8668,1979,5,4,1609,4,3,3,11,Mitchel,278497
11914,1987,6,7,1999,2,2,1,13,Veenker,167213
13506,1982,8,2,2599,1,2,2,11,Mitchel,231051
5157,1907,10,8,2658,2,2,1,13,CollgCr,75465
7915,1994,6,6,2472,0,2,3,7,CollgCr,234972
12817,1920,1,3,3424,3,0,4,2,NoRidge,109799
12921,1980,8,9,1566,1,2,1,3,Mitchel,146129
11789,1986,8,5,2758,4,1,1,6,Veenker,464546
13252,2000,9,8,2535,0,1,1,3,CollgCr,189374
4693,2017,9,7,3771,1,1,1,11,Veenker,419432
5627,1979,2,8,1357,0,2,3,2,Crawfor,293761
11555,1969,2,7,3174,4,1,5,7,CollgCr,292821
12173,1971,3,3,1549,1,0,5,9,NoRidge,62875
7450,1924,1,2,798,4,3,1,9,Crawfor,77219
3663,1981,4,7,3648,2,2,3,14,Mitchel,348326
11721,1988,4,3,1423,4,1,3,14,Veenker,261613
12230,1911,9,3,636,2,0,1,9,CollgCr,485485
7592,1914,9,2,1543,1,3,2,12,Crawfor,391925
13494,1958,9,4,2987,2,0,1,7,Crawfor,56457
12429,1925,10,8,710,1,1,2,12,CollgCr,449965
9392,2004,7,1,3299,1,0,1,4,Mitchel,83064
3306,2008,2,1,2074,3,3,2,2,Mitchel,453037
14221,1925,10,5,2982,1,1,2,3,NoRidge,165256
8776,1946,5,5,1279,2,3,1,6,Mitchel,410441
12867,1931,4,1,1730,3,0,2,14,NoRidge,284659
